µØµã,¶ÌÆÀ,³ö·¢Ê±¼ä,ÌìÊý,ÈË¾ù·ÑÓÃ,ÈËÎï,Íæ·¨,ä¯ÀÀÁ¿
Î÷°²,Ò»³¡Ö»ÊôÓÚÎÒÃÇÁ½¸¸×ÓµÄÂÃÐÐ¡ª¡ª35Ìì9Ê¡Çø³©ÓÎ×æ¹ú×³ÀöÉ½ºÓÖ®ÉÂÎ÷-ÄþÏÄÆª,/2020/08/12,6,2400,Ç××Ó,µÚÒ»´Î?ÇîÓÎ?ÃÀÊ³?Êî¼Ù,300
¿ª·â,¿ª·âµÚ1Ìì¡ª¡ª1.1¿ª·â¸®,/2021/02/27,1,400,¼ÒÍ¥,Éî¶ÈÓÎ?Í½²½?ÃÀÊ³?¶¬¼¾,16000
ÈýÑÇ,ÈýÑÇÐ¡ÖÚÍæ·¨´ºÌì¸ÕÀ´£¬ÎÒ±ã¿ªÊ¼ÏëÄîº£±ßµÄÂþÊ±¹â,/2021/01/31,4,2600,ÈýÎåºÃÓÑ,×Ô¼Ý?ÃÀÊ³?ÉãÓ°,2729
ÑÓ¼ª,ÑÓ¼ªÊ®°ËÊ±³½£¬¹Â¶À¡°ÃÀÊ³¼Ò¡±µÄ²»¹Â¶À½Å²½,/2020/12/25,2,500,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?ÉãÓ°?¶¬¼¾,9521
ÕÄÖÝ,ÁùÌìÎåÒ¹£¬Ì½ÃØÃö±±ÃöÄÏÈË¼äÃØ¾³,/2021/02/19,6,1200,ÈýÎåºÃÓÑ,×Ô¼Ý?´º½Ú?Ì¤´º,4901
ÈýÑÇ,¡¾ÈýÑÇÂÃÓÎ¡¿½ãÃÃÒ»Æð³¬High£¡ËÄÌìÈýÒ¹º£±ß¿ñ»¶£¬×¡ËÞÃÀÊ³¡¢¾°µã½»Í¨È«¹¥ÂÔ,/2020/12/22,4,2000,¹ëÃÛ,ÃÀÊ³?ÏÄ¼¾?º®¼Ù,10000
ÈýÑÇ,ÔÚ±±Î³18¡ãµÄ¡°¶«·½ÏÄÍþÒÄ¡±ÈýÑÇ£¬¸°Ò»³¡Ò¬·ç¡¢º£ÔÏÓëÃÀÊ³µÄÔ¼»á,/2021/02/05,4,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÃÀÊ³?¶¬¼¾,9148
³É¶¼,Ò»³¡Ö»ÊôÓÚÎÒÃÇÁ½¸¸×ÓµÄÂÃÐÐ¡ª¡ª35Ìì9Ê¡Çø³©ÓÎ×æ¹ú×³ÀöÉ½ºÓÖ®ËÄ´¨Æª2,/2020/07/28,6,2100,Ç××Ó,µÚÒ»´Î?ÇîÓÎ?ÃÀÊ³?Êî¼Ù,379
³É¶¼,Ò»³¡Ö»ÊôÓÚÎÒÃÇÁ½¸¸×ÓµÄÂÃÐÐ¡ª¡ª35Ìì9Ê¡Çø³©ÓÎ×æ¹ú×³ÀöÉ½ºÓÖ®ËÄ´¨Æª1,/2020/07/25,3,700,Ç××Ó,¶ÌÍ¾ÖÜÄ©?ÆïÐÐ?ÇîÓÎ?Êî¼Ù,338
Õò½­,Ò»ÈÕÒ»¾°Ò»Ê³--Õò½­,/2020/11/07,2,150,¶À×ÔÒ»ÈË,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?Í½²½?ÉÍÇï,69000
